,Unnamed: 0,Papel,Unnamed: 0.1,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1,Setor,Subsetor,Cat_Cluster
0,0,ABCB4,0,0.05319404602050781,0.06545448303222656,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.18338966369628906,0.34494781494140625,Intermediários Financeiros,Bancos,A
1,1,ABEV3,1,0.2477035522460937,0.0025501251220703125,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.6449699401855469,0.6295871734619141,Bebidas,Cervejas e Refrigerantes,B
2,2,ADHM3,2,0.04719853401184082,0.04153358936309815,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.02394652366638184,0.00401759147644043,,,R
3,3,AELP3,3,0.02304553985595703,0.21818065643310547,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02740001678466797,0.035274505615234375,Energia Elétrica,Energia Elétrica,R
4,4,AFLT3,4,1.7698445320129397,9.89683198928833,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.836434841156006,6.356153964996338,Energia Elétrica,Energia Elétrica,B
5,5,AGRO3,5,0.018546104431152344,0.037281036376953125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.032706260681152344,0.004609107971191406,Agropecuária,Agricultura,B
6,6,AHEB3,6,0.018634796142578125,0.04667568206787109,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019931793212890625,0.040434837341308594,Viagens e Lazer,Produção de Eventos e Shows,C
7,7,AHEB5,7,0.2602844238281392,0.40790557861329546,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2016754150390483,0.27577972412107954,Viagens e Lazer,Produção de Eventos e Shows,C
8,8,AHEB6,8,0.3582763671875071,0.00238418579100852,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02298355102539773,0.2345390319824289,Viagens e Lazer,Produção de Eventos e Shows,C
9,9,ALPA3,9,0.02786111831665039,0.05112838745117188,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01763010025024414,0.006233692169189453,"Tecidos, Vestuário e Calçados",Calçados,B
10,10,ALPA4,10,0.06097507476806641,0.09247112274169922,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.09245109558105467,0.003995895385742188,"Tecidos, Vestuário e Calçados",Calçados,B
11,11,ALSO3,11,0.027381896972652697,0.1817722320556676,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06467247009276987,0.03013229370116832,Exploração de Imóveis,Exploração de Imóveis,D
12,12,ALUP11,12,0.1500225067138672,0.05237007141113281,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09802627563476562,0.030185699462890625,Energia Elétrica,Energia Elétrica,B
13,13,AMAR3,13,0.01334857940673828,0.004887580871582031,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05138063430786133,0.05989646911621094,Comércio,"Tecidos, Vestuário e Calçados",B
14,14,ANIM3,14,0.08872365951538086,0.033686161041259766,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02428579330444336,0.023224353790283203,Diversos,Serviços Educacionais,B
15,15,APER3,15,0.8101110458374023,0.997528076171875,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.17564010620117188,0.13300132751464844,Previdência e Seguros,Corretoras de Seguros,R
16,16,ARZZ3,16,0.16337966918945312,0.124420166015625,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15621566772460938,0.0821685791015625,Comércio,"Tecidos, Vestuário e Calçados",B
17,17,ATMP3,17,94.83197021484376,83.57296752929688,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.82568359375,1.734893798828125,Serviços Diversos,Serviços Diversos,D
18,18,ATOM3,18,0.057536780834198,0.002583682537078857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.01981431245803833,0.08864212036132812,Outros,Outros,R
19,19,AZEV3,19,465.2342653274536,272.8555727005005,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,120.54736614227295,334.4727964401245,Construção e Engenharia,Construção Pesada,C
20,20,AZEV4,20,0.01652240753173739,0.038343906402587,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04335165023803622,0.0294170379638663,Construção e Engenharia,Construção Pesada,C
21,21,B3SA3,21,0.3035984039306641,0.16739845275878906,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.16109085083007812,0.10153579711914062,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B
22,22,BAHI3,22,2.990520477294922,0.4267158508300781,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0317840576171875,0.058788299560546875,Diversos,Serviços Educacionais,B
23,23,BALM3,23,93.10120391845705,911.368896484375,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.708343505859375,28.07036399841309,Equipamentos,Equipamentos,B
24,24,BALM4,24,0.015091896057128906,0.04284858703613281,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.027609825134277344,0.013527870178222656,Equipamentos,Equipamentos,B
25,25,BAUH4,25,0.012573242187501776,0.070553779602049,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04481124877929865,0.054934501647947435,Alimentos Processados,Carnes e Derivados,D
26,26,BAZA3,26,0.3677711486816406,0.009096145629882812,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24187278747558594,0.10775184631347656,Intermediários Financeiros,Bancos,A
27,27,BBAS3,27,0.4602737426757848,0.2842426300048864,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.02716255187988636,0.1646633148193395,Intermediários Financeiros,Bancos,A
28,28,BBDC3,28,0.059178352355957024,0.007653236389160156,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002144813537597656,0.1136474609375,Intermediários Financeiros,Bancos,A
29,29,BBDC4,29,0.14716339111328125,0.03544425964355469,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.055744171142578125,0.1809101104736328,Intermediários Financeiros,Bancos,A
30,30,BBRK3,30,0.6017866134643555,0.5172624588012695,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.08242988586425781,0.1406106948852539,Exploração de Imóveis,Intermediação Imobiliária,D
31,31,BBSE3,31,0.008037567138671875,0.10918235778808594,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1339244842529297,0.013957977294921877,Previdência e Seguros,Seguradoras,C
32,32,BDLL4,32,0.1732482910156179,0.18478775024414773,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5698776245117259,0.0061798095703196046,Máquinas e Equipamentos,Máq. e Equip. Industriais,B
33,33,BEEF3,33,0.0754232406616211,0.02056980133056641,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08328437805175781,0.040175437927246094,Alimentos Processados,Carnes e Derivados,R
34,34,BEES3,34,0.014945030212402344,0.0040384531021118155,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.046666860580444336,0.00605618953704834,Intermediários Financeiros,Bancos,A
35,35,BEES4,35,0.022090673446655273,0.00048661231994628906,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03241276741027832,0.007913827896118164,Intermediários Financeiros,Bancos,A
36,36,BGIP3,36,3.89536190032959,5.113706588745117,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19.67332649230957,13.80339241027832,Intermediários Financeiros,Bancos,A
37,37,BGIP4,37,0.2366218566894531,0.000659942626953125,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5174331665039062,0.138641357421875,Intermediários Financeiros,Bancos,A
38,38,BHGR3,38,0.011188507080078123,0.030731201171875,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.03774070739746094,0.01743316650390625,Exploração de Imóveis,Exploração de Imóveis,B
39,39,BIOM3,39,0.051563262939453125,0.0782785415649414,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05864048004150391,0.04915046691894531,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,R
40,40,BMEB3,40,0.2646217346191406,0.05922889709472656,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0506291389465332,0.040560245513916016,Intermediários Financeiros,Bancos,A
41,41,BMEB4,41,0.012690544128417969,0.10443401336669922,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.035419464111328125,0.01639413833618164,Intermediários Financeiros,Bancos,A
42,42,BMIN3,42,0.108001708984375,0.5485305786132812,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.098793029785156,1.2431869506835938,Intermediários Financeiros,Bancos,A
43,43,BMIN4,43,0.08691787719726562,0.3206520080566406,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4333953857421875,0.10322189331054688,Intermediários Financeiros,Bancos,A
44,44,BMKS3,44,1.017547607421875,2.6663818359375,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.996978759765625,2.511199951171875,Viagens e Lazer,Bicicletas,R
45,45,BNBR3,45,0.06000518798828125,0.021221160888671875,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05825614929199219,0.000423431396484375,Intermediários Financeiros,Bancos,A
46,46,BOBR4,46,0.0001807212829589844,0.01615428924560547,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.010818004608154295,0.030607223510742188,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,B
47,47,BPAN4,47,0.09526216983795166,0.2148970365524292,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.07284438610076904,0.03160810470581055,Intermediários Financeiros,Bancos,A
48,48,BPHA3,48,0.2449355125427246,0.04190349578857422,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0266408920288086,0.09934329986572266,Comércio e Distribuição,Medicamentos e Outros Produtos,E
49,49,BRAP3,49,0.13783645629882812,0.005183219909667969,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11014556884765624,0.009116172790527344,Mineração,Minerais Metálicos,E
50,50,BRAP4,50,0.053420066833496094,0.043853759765625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.118988037109375,0.05353832244873047,Mineração,Minerais Metálicos,E
51,51,BRFS3,0,0.1354980468749929,0.19838714599610088,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.13951873779297586,0.5831222534179616,Alimentos Processados,Carnes e Derivados,B
52,52,BRGE11,1,0.02229547500610352,0.012929916381835938,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.005860805511474609,0.01702404022216797,Previdência e Seguros,Seguradoras,R
