game_id;game_name;uuid;timestamp;1) Em uma escala de 1 a 5, o quanto você se sentiu entediado no início do jogo?;2) Em uma escala de 1 a 5, o quanto você se sentiu estressado no início do jogo?;3) Em uma escala de 1 a 5, o quanto você se sentiu entediado no final do jogo?;4) Em uma escala de 1 a 5, o quanto você se sentiu estressado no final do jogo?;5) Qual parte do jogo descreve melhor o momento que você mais se divertiu?;6) Você considera que entendeu como jogar o jogo corretamente?
1;Card Flipper;6;1,60571E+12;3;1;2;1;5;2
3;Platformer;6;1,60571E+12;5;1;3;4;3;2
2;Tetris;6;1,60571E+12;1;1;1;1;5;2
1;Card Flipper;13;1,60572E+12;2;1;4;4;2;2
1;Card Flipper;15;1,60572E+12;2;2;4;4;2;2
3;Platformer;15;1,60572E+12;1;1;1;3;4;2
2;Tetris;15;1,60572E+12;2;2;4;3;1;2
1;Card Flipper;18;1,60573E+12;2;2;4;4;2;2
1;Card Flipper;18;1,60573E+12;2;2;4;4;2;2
1;Card Flipper;22;1,60574E+12;3;1;1;2;5;2
1;Card Flipper;22;1,60574E+12;3;1;1;2;5;2
1;Card Flipper;27;1,60575E+12;2;2;3;3;1;1
1;Card Flipper;33;1,60579E+12;2;1;1;2;4;2
3;Platformer;33;1,60579E+12;2;1;1;2;2;2
2;Tetris;33;1,60579E+12;3;1;1;3;3;2
1;Card Flipper;38;1,6058E+12;1;1;1;4;4;2
1;Card Flipper;41;1,60581E+12;3;1;2;3;4;2
3;Platformer;41;1,60581E+12;2;1;3;3;3;2
2;Tetris;41;1,60581E+12;4;1;2;4;3;2
1;Card Flipper;43;1,60582E+12;1;2;1;2;2;1
1;Card Flipper;45;1,60584E+12;5;1;4;2;5;2
1;Card Flipper;45;1,60584E+12;5;1;4;2;5;2
1;Card Flipper;47;1,60584E+12;5;1;3;5;4;2
3;Platformer;47;1,60584E+12;4;1;1;5;3;2
2;Tetris;47;1,60584E+12;2;2;1;4;3;2
1;Card Flipper;48;1,60584E+12;1;1;1;1;1;2
1;Card Flipper;50;1,60588E+12;4;2;1;4;4;1
3;Platformer;50;1,60588E+12;4;4;2;4;3;1
2;Tetris;50;1,60588E+12;3;3;3;5;3;1
1;Card Flipper;55;1,6059E+12;4;1;2;4;4;2
3;Platformer;55;1,6059E+12;4;1;3;4;5;2
1;Card Flipper;56;1,6059E+12;3;1;5;2;4;1
3;Platformer;56;1,6059E+12;1;2;2;1;3;2
2;Tetris;56;1,6059E+12;5;1;5;4;4;2
1;Card Flipper;57;1,60589E+12;5;1;5;2;3;2
3;Platformer;57;1,60589E+12;5;2;5;3;3;2
2;Tetris;57;1,6059E+12;5;3;4;1;4;2
1;Card Flipper;61;1,60599E+12;5;2;1;4;4;2
3;Platformer;61;1,60599E+12;5;1;3;3;3;2
2;Tetris;61;1,606E+12;5;3;2;5;3;2
1;Card Flipper;62;1,606E+12;3;1;1;1;4;2
3;Platformer;62;1,606E+12;4;2;1;2;4;2
2;Tetris;62;1,606E+12;1;1;1;3;4;2
1;Card Flipper;64;1,60614E+12;5;5;1;5;2;2
3;Platformer;64;1,60615E+12;4;4;1;4;4;2
2;Tetris;64;1,60615E+12;4;5;1;5;3;2
1;Card Flipper;65;1,60615E+12;4;1;1;4;4;2
3;Platformer;65;1,60615E+12;5;1;1;4;3;2
2;Tetris;65;1,60615E+12;5;1;1;4;3;2
1;Card Flipper;68;1,60616E+12;4;4;5;3;1;0
3;Platformer;68;1,60616E+12;5;3;5;3;5;0
1;Card Flipper;72;1,60616E+12;1;1;2;2;2;1
3;Platformer;72;1,60616E+12;1;1;3;3;2;1
2;Tetris;72;1,60616E+12;1;1;5;5;3;2
1;Card Flipper;73;1,60616E+12;1;1;1;1;2;2
3;Platformer;73;1,60616E+12;1;3;1;4;1;1
2;Tetris;73;1,60616E+12;1;1;1;1;1;2
1;Card Flipper;75;1,60616E+12;1;1;1;3;4;2
1;Card Flipper;76;1,60616E+12;3;1;5;4;3;1
3;Platformer;76;1,60616E+12;1;1;4;4;3;2
2;Tetris;76;1,60616E+12;5;4;4;5;3;2
1;Card Flipper;77;1,60617E+12;5;5;1;1;4;1
3;Platformer;77;1,60617E+12;5;5;1;1;2;2
2;Tetris;77;1,60617E+12;5;5;3;2;2;1
1;Card Flipper;79;1,60617E+12;3;2;1;4;5;2
3;Platformer;79;1,60617E+12;4;1;1;4;4;2
2;Tetris;79;1,60617E+12;5;1;1;4;3;2
1;Card Flipper;80;1,60617E+12;4;1;2;1;4;2
3;Platformer;80;1,60617E+12;4;1;1;2;4;2
2;Tetris;80;1,60617E+12;5;1;1;1;5;2
1;Card Flipper;81;1,60618E+12;3;4;4;4;3;2
1;Card Flipper;82;1,60618E+12;5;1;1;1;5;2
3;Platformer;82;1,60618E+12;4;1;1;3;4;2
2;Tetris;82;1,60618E+12;4;1;5;2;2;2
1;Card Flipper;88;1,60627E+12;2;1;1;4;3;2
3;Platformer;88;1,60627E+12;5;1;1;5;4;2
