,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1
0,CLSC4,0.23786544799804688,0.9754638671875,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.005397796630859375,0.044399261474609375
1,CMIG3,0.22492694854736328,0.07599830627441406,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.31679821014404297,0.045929908752441406
2,CMIG4,5.39035701751709,22.881864547729492,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8637571334838867,6.683349370956421
3,COCE3,0.20072174072265625,0.10647392272949219,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05023002624511719,0.07595062255859375
4,COCE5,0.020725250244140625,0.5363121032714844,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3153648376464844,0.1884307861328125
5,COGN3,0.3760805130004883,0.08730411529541016,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11632633209228516,0.05100822448730469
6,CORR4,15.485900878906264,11.533134460449233,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.666069030761733,0.06599426269532671
7,CPFE3,0.0556488037109375,0.0593719482421875,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.04913520812988281,0.045803070068359375
8,CPLE3,0.006581783294677734,0.010781526565551758,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.025381803512573242,0.01723313331604004
9,CPLE5,0.2848548889160156,0.10073089599609375,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.4448699951171875,0.8884353637695312
10,CPLE6,0.018210411071777344,0.003799915313720703,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01836395263671875,0.003822803497314453
11,CRDE3,0.20769691467285156,0.4300365447998047,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.10556221008300781,0.21218490600585938
12,CRIV3,0.030062198638916016,0.0061643123626708984,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002846240997314453,0.01892828941345215
13,CRIV4,0.010913848876953125,0.042917728424072266,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.013210296630859375,0.005383729934692383
14,CRPG3,0.011121749877929688,0.021472930908203125,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06786060333251953,0.012051582336425781
15,CRPG5,15.98144543170929,8.58489978313446,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.516353011131287,7.67110812664032
16,CRPG6,0.20371723175048828,0.0778341293334961,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.601531982421875,0.4245595932006836
17,CSAB3,0.30224609375,0.08849716186523438,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08045387268066406,0.011554718017578125
18,CSAB4,0.11076736450195312,0.06886672973632812,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.12296676635742188,0.37310791015625
19,CSAN3,0.009974479675292969,0.02526378631591797,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04021739959716797,0.06569957733154297
20,CSMG3,0.050765991210935724,0.012669563293455255,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.028780937194822442,0.02327156066894709
21,CSNA3,0.06467103958129883,0.01815938949584961,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.16375494003295898,0.05682563781738281
22,CSRN3,0.22830772399902344,0.012053489685058594,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.020750045776367188,0.051957130432128906
23,CSRN5,0.039443016052246094,0.04139900207519531,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0032939910888671875,0.009217262268066406
24,CSRN6,0.0178680419921875,0.05705070495605469,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.033905982971191406,0.047069549560546875
25,CTKA3,1880.8779048919678,222.8369960784912,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1463.2018795013428,3171.1265621185303
26,CTKA4,2.8138747215270996,4.5142863020300865,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20214176177978516,0.9571266174316406
27,CTNM3,538.8461427688599,757.7050294876099,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11858.078320503235,6839.969433784485
