,Unnamed: 0,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1,Setor,Subsetor
0,0,CTNM3,2765.285195350647,4751.502968788147,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2862.616982460022,1075.1549463272097,"Tecidos, Vestuário e Calçados",Fios e Tecidos
1,1,CTNM4,0.011664152145385742,0.07402586936950684,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03683805465698242,0.02053689956665039,"Tecidos, Vestuário e Calçados",Fios e Tecidos
2,2,CTSA3,0.008253335952758789,0.01535153388977051,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002388596534729004,0.003472328186035156,"Tecidos, Vestuário e Calçados",Fios e Tecidos
3,3,CTSA4,0.004365384578704834,0.009474456310272215,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00040155649185180653,0.0025942325592041016,"Tecidos, Vestuário e Calçados",Fios e Tecidos
4,4,CYRE3,0.014978408813476562,0.10790157318115234,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.025438308715820312,0.007295608520507811,Construção Civil,Incorporações
5,5,DASA3,0.5659942626953125,0.3202171325683594,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1032733917236328,0.28275108337402344,Análises e Diagnósticos,Análises e Diagnósticos
6,6,DIRR3,0.026052474975585938,0.017681598663330078,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02025079727172852,0.006114006042480469,Construção Civil,Incorporações
7,7,DOHL3,0.23636341094970706,0.14362573623657227,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.014112472534179688,0.02111959457397461,"Tecidos, Vestuário e Calçados",Fios e Tecidos
8,8,DOHL4,0.017436504364013672,0.009441614151000977,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006074428558349609,0.0025000572204589844,"Tecidos, Vestuário e Calçados",Fios e Tecidos
9,9,DTCY3,0.027102947235107425,0.08060312271118164,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.05246400833129883,0.12467145919799805,Serviços Diversos,Serviços Diversos
10,10,DTEX3,0.053955078125001776,0.11833238601684393,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01140499114990412,0.00884342193603338,Madeira e Papel,Madeira
11,11,EALT3,0.05564069747924805,0.18320560455322266,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.06537199020385742,0.15801286697387695,Máquinas e Equipamentos,Máq. e Equip. Industriais
12,12,EALT4,0.0006966590881347656,0.007637739181518555,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006793022155761719,0.003319859504699707,Máquinas e Equipamentos,Máq. e Equip. Industriais
13,13,ECOR3,0.054386138916015625,0.04288482666015625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04134464263916016,0.03605079650878906,Transporte,Exploração de Rodovias
14,14,ECPR3,0.02789878845214844,0.022800445556640625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0363922119140625,0.03063201904296875,"Tecidos, Vestuário e Calçados",Fios e Tecidos
15,15,ECPR4,0.09910964965821024,0.09526443481444602,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2703704833984304,0.013931274414055395,"Tecidos, Vestuário e Calçados",Fios e Tecidos
16,16,EEEL3,0.39239501953125,0.7354278564453125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0193939208984375,0.9332427978515624,Energia Elétrica,Energia Elétrica
17,17,EEEL4,1.7424774169921875,1.2490615844726562,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3335723876953125,0.712432861328125,Energia Elétrica,Energia Elétrica
18,18,EGIE3,0.4431266784667969,0.164276123046875,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.6847763061523438,0.4091739654541016,Energia Elétrica,Energia Elétrica
19,19,EKTR3,5.381019592285156,5.9836177825927725,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.479501724243164,0.8727779388427734,Energia Elétrica,Energia Elétrica
20,20,EKTR4,0.20231056213378906,0.4034976959228516,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.09410667419433594,0.0018463134765625,Energia Elétrica,Energia Elétrica
21,21,ELET3,0.004540443420410156,0.026926040649414062,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.035582542419433594,0.02663755416870117,Energia Elétrica,Energia Elétrica
22,22,ELET5,0.15265655517578125,0.10975837707519533,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0723419189453125,0.015943527221679688,Energia Elétrica,Energia Elétrica
23,23,ELET6,0.05548286437988281,0.02887725830078125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04525184631347656,0.03352546691894531,Energia Elétrica,Energia Elétrica
24,24,EMAE4,0.05091571807861328,0.04603743553161621,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02326631546020508,0.0015971660614013672,Energia Elétrica,Energia Elétrica
25,25,EMBR3,0.06195640563965199,0.053768157958980815,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15396690368651988,0.04067993164062145,Material de Transporte,Material Aeronáutico e de Defesa
26,26,ENAT3,0.0160064697265625,0.08734130859375,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.009199142456054688,0.06789970397949219,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
27,27,ENBR3,0.014200210571289062,0.015990257263183594,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0878896713256836,0.04274177551269531,Energia Elétrica,Energia Elétrica
28,28,ENEV3,0.13036084175109866,0.15413594245910645,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.017145872116088867,0.05308055877685547,Energia Elétrica,Energia Elétrica
29,29,ENGI11,0.12997817993164062,0.03977203369140625,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0643310546875,0.2346305847167969,Energia Elétrica,Energia Elétrica
30,30,ENGI3,0.02162623405456543,0.014469385147094728,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.01836776733398437,0.03725934028625488,Energia Elétrica,Energia Elétrica
31,31,ENGI4,0.08720207214355469,0.05753469467163086,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.005590915679931641,0.004731178283691406,Energia Elétrica,Energia Elétrica
32,32,ENMT3,0.14961719512939453,0.07672548294067383,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.08182954788208008,0.06406450271606445,Energia Elétrica,Energia Elétrica
33,33,ENMT4,0.05383729934692294,0.041754007339478434,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0022697448730459873,0.0084209442138663,Energia Elétrica,Energia Elétrica
34,34,EQMA3B,0.15710067749023793,0.06770324707031605,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.12769889831542613,0.2776832580566442,Energia Elétrica,Energia Elétrica
35,35,EQPA3,31.735987067222595,16.706444382667538,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8911771178245544,0.7751774787902832,Energia Elétrica,Energia Elétrica
