,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1
0,ABCB4,0.021024703979492188,0.07472991943359375,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.038944244384765625,0.09531974792480469
1,ABCB4,0.05319404602050781,0.06545448303222656,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.18338966369628906,0.34494781494140625
2,ABEV3,0.24770355224609375,0.0025501251220703125,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.6449699401855469,0.6295871734619141
3,ADHM3,0.04719853401184082,0.041533589363098145,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.023946523666381836,0.00401759147644043
4,AELP3,0.02304553985595703,0.21818065643310547,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02740001678466797,0.035274505615234375
5,AFLT3,1.7698445320129395,9.89683198928833,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.836434841156006,6.356153964996338
6,AGRO3,0.018546104431152344,0.037281036376953125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.032706260681152344,0.004609107971191406
7,AHEB3,0.018634796142578125,0.046675682067871094,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019931793212890625,0.040434837341308594
8,AHEB5,0.2602844238281392,0.40790557861329546,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2016754150390483,0.27577972412107954
9,AHEB6,0.3582763671875071,0.0023841857910085196,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02298355102539773,0.23453903198242898
10,ALPA3,0.02786111831665039,0.051128387451171875,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01763010025024414,0.006233692169189453
11,ALPA4,0.060975074768066406,0.09247112274169922,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.09245109558105469,0.0039958953857421875
12,ALSO3,0.027381896972652697,0.18177223205566762,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06467247009276988,0.030132293701168322
